Edge Detection Report
=====================
Dataset   : uscsipi
Edge type : horizontal
Images    : 77

Input file                                        Output file                                               Time (ms)
Total time   : 3175.36 ms
Average/file : 41.24 ms
---------------------------------------------------------------------------------------------------------------------

data/uscsipi_images/img_0000.jpg                  data/outputs/uscsipi_horizontal_img_0.pgm                    853.24
data/uscsipi_images/img_0001.jpg                  data/outputs/uscsipi_horizontal_img_1.pgm                     15.62
data/uscsipi_images/img_0002.jpg                  data/outputs/uscsipi_horizontal_img_2.pgm                     10.88
data/uscsipi_images/img_0003.jpg                  data/outputs/uscsipi_horizontal_img_3.pgm                     11.35
data/uscsipi_images/img_0004.jpg                  data/outputs/uscsipi_horizontal_img_4.pgm                     11.25
data/uscsipi_images/img_0005.jpg                  data/outputs/uscsipi_horizontal_img_5.pgm                     11.72
data/uscsipi_images/img_0006.jpg                  data/outputs/uscsipi_horizontal_img_6.pgm                     10.71
data/uscsipi_images/img_0007.jpg                  data/outputs/uscsipi_horizontal_img_7.pgm                     19.85
data/uscsipi_images/img_0008.jpg                  data/outputs/uscsipi_horizontal_img_8.pgm                     12.84
data/uscsipi_images/img_0009.jpg                  data/outputs/uscsipi_horizontal_img_9.pgm                     15.75
data/uscsipi_images/img_0010.jpg                  data/outputs/uscsipi_horizontal_img_10.pgm                    14.18
data/uscsipi_images/img_0011.jpg                  data/outputs/uscsipi_horizontal_img_11.pgm                    10.20
data/uscsipi_images/img_0012.jpg                  data/outputs/uscsipi_horizontal_img_12.pgm                    45.98
data/uscsipi_images/img_0013.jpg                  data/outputs/uscsipi_horizontal_img_13.pgm                    40.90
data/uscsipi_images/img_0014.jpg                  data/outputs/uscsipi_horizontal_img_14.pgm                    45.60
data/uscsipi_images/img_0015.jpg                  data/outputs/uscsipi_horizontal_img_15.pgm                    44.93
data/uscsipi_images/img_0016.jpg                  data/outputs/uscsipi_horizontal_img_16.pgm                    45.64
data/uscsipi_images/img_0017.jpg                  data/outputs/uscsipi_horizontal_img_17.pgm                    54.75
data/uscsipi_images/img_0018.jpg                  data/outputs/uscsipi_horizontal_img_18.pgm                    59.27
data/uscsipi_images/img_0019.jpg                  data/outputs/uscsipi_horizontal_img_19.pgm                    52.11
data/uscsipi_images/img_0020.jpg                  data/outputs/uscsipi_horizontal_img_20.pgm                    50.59
data/uscsipi_images/img_0021.jpg                  data/outputs/uscsipi_horizontal_img_21.pgm                    56.20
data/uscsipi_images/img_0022.jpg                  data/outputs/uscsipi_horizontal_img_22.pgm                    49.86
data/uscsipi_images/img_0023.jpg                  data/outputs/uscsipi_horizontal_img_23.pgm                    61.18
data/uscsipi_images/img_0024.jpg                  data/outputs/uscsipi_horizontal_img_24.pgm                    51.53
data/uscsipi_images/img_0025.jpg                  data/outputs/uscsipi_horizontal_img_25.pgm                    48.78
data/uscsipi_images/img_0026.jpg                  data/outputs/uscsipi_horizontal_img_26.pgm                    45.01
data/uscsipi_images/img_0027.jpg                  data/outputs/uscsipi_horizontal_img_27.pgm                    45.09
data/uscsipi_images/img_0028.jpg                  data/outputs/uscsipi_horizontal_img_28.pgm                    43.81
data/uscsipi_images/img_0029.jpg                  data/outputs/uscsipi_horizontal_img_29.pgm                    54.96
data/uscsipi_images/img_0030.jpg                  data/outputs/uscsipi_horizontal_img_30.pgm                    47.63
data/uscsipi_images/img_0031.jpg                  data/outputs/uscsipi_horizontal_img_31.pgm                    68.93
